Organization Name,address1,address2,city,State,zip,ServiceSummary
Family Promise,313 HARLEY DR,,KNOXVILLE,TN,37919,Emergency Shelter
YWCA,420 W CLINCH AVE,,KNOXVILLE,TN,37902,Transitional Housing
The Salvation Army,409 North Broadway,,Knoxville,TN,37917,Transitional Housing
Helen Ross McNabb Center Youth Homelessness Programs,3006 Lake Brook Boulevard,,Knoxville,TN,37909,Transitional Housing
The Salvation Army,409 North Broadway,,Knoxville,TN,37917,Transitional Housing
Catholic Charities of East Tennessee,3009 LAKE BROOK BLVD,,KNOXVILLE,TN,37909,Transitional Housing
Volunteers Of America,511 N BROADWAY ST,,KNOXVILLE,TN,37917,Rapid Re-Housing
Knoxville-Knox County Community Action Committee,2247 WESTERN AVE,,KNOXVILLE,TN,37921,Rapid Re-Housing
Helen Ross McNabb Center--PSH Programs,201 W SPRINGDALE AVE,,KNOXVILLE,TN,37917,Permanent Supportive Housing
Volunteer Ministry Center,511 N BROADWAY ST,,KNOXVILLE,TN,37917,Permanent Supportive Housing
Positively Living Non HUD,1501 E 5th Ave,,Knoxville,TN,37917,Permanent Supportive Housing
Positively Living,1501 E 5TH AVE,,KNOXVILLE,TN,37917,Permanent Supportive Housing
Southeastern Housing Fdn.,115 FLENNIKEN AVE,,KNOXVILLE,TN,37920,Permanent Supportive Housing
Helen Ross McNabb Center--PSH Programs,201 W SPRINGDALE AVE,,KNOXVILLE,TN,37917,Permanent Supportive Housing
Helen Ross McNabb Center--PSH Programs,201 W SPRINGDALE AVE,,KNOXVILLE,TN,37917,Permanent Supportive Housing
Helen Ross McNabb Center--PSH Programs,201 W SPRINGDALE AVE,,KNOXVILLE,TN,37917,Permanent Supportive Housing
Helen Ross McNabb Center--PSH Programs,205 West Springdale Avenue,,Knoxville,TN,37917,Permanent Supportive Housing
Helen Ross McNabb Center--PSH Programs,201 W SPRINGDALE AVE,,KNOXVILLE,TN,37917,Permanent Supportive Housing
Brother Francis Shelter Kodiak (BFSK),410 Thorsheim Street,,Kodiak,AK,99615,Emergency Shelter
"Salvation Army, Kodiak",1855 Mission Road,,Kodiak,AK,99615,Transitional Housing
Kodiak Women's Resource & Crisis Center (KWRCC),,,KODIAK,AK,99615,Emergency Shelter
Winter Contingency Shelter,625 N. Union St,,Kokomo,IN,46901,Emergency Shelter
"CAM, Inc.",2501 N APPERSON WAY,,KOKOMO,IN,46901,Other Permanent Housing
"Family Service Association of Howard County, Inc.",618 S Main St.,,Kokomo,IN,46901,Emergency Shelter
Kokomo Housing Authority,210 E Taylor St,,Kokomo,IN,46901,Permanent Supportive Housing
Community Howard Regional Health,322 N MAIN ST,,KOKOMO,IN,46901,Permanent Supportive Housing
"Family Service Association of Howard County, Inc.",322 E JACKSON ST,,KOKOMO,IN,46901,Permanent Supportive Housing
"Advantage Housing, Inc.",101 W SYCAMORE ST,,KOKOMO,IN,46901,Rapid Re-Housing
Kokomo Rescue Mission,401 W MULBERRY ST,,KOKOMO,IN,46901,Transitional Housing
Kokomo Rescue Mission,321 W MULBERRY ST,,KOKOMO,IN,46901,Transitional Housing
Kokomo Rescue Mission,929 N MAIN ST,,KOKOMO,IN,46901,Emergency Shelter
Kokomo Rescue Mission,321 W MULBERRY ST,,KOKOMO,IN,46901,Emergency Shelter
"CAM, Inc.",210 N MARKET ST,,KOKOMO,IN,46901,Emergency Shelter
"CAM, Inc.",320 E WALNUT ST,,KOKOMO,IN,46901,Emergency Shelter
Steadfast Housing Development Corporation,34 KULALANI DR,,KULA,HI,96790,Permanent Supportive Housing
Valor Clinic Foundation,1130 SCENIC DR,,KUNKLETOWN,PA,18058,Transitional Housing
YWCA of The Coulee Region,3219 COMMERCE ST,,LA CROSSE,WI,54603,Emergency Shelter
The Salvation Army of La Crosse,228 8TH ST N,,LA CROSSE,WI,54601,Emergency Shelter
Catholic Charities of La Crosse,128 6TH ST S,,LA CROSSE,WI,54601,Emergency Shelter
Catholic Charities of La Crosse,3710 EAST AVE S,,LA CROSSE,WI,54601,Permanent Supportive Housing
Couleecap Inc.,700 3RD ST N,,La Crosse,WI,54601,Permanent Supportive Housing
Couleecap Inc.,700 3RD ST N,,LA CROSSE,WI,54601,Permanent Supportive Housing
YWCA of The Coulee Region,3219 COMMERCE ST,,La Crosse,WI,54603,Rapid Re-Housing
Catholic Charities of La Crosse,3710 EAST AVE S,,LA CROSSE,WI,54601,Rapid Re-Housing
Community Connection of Northeast Oregon (3373) [ROCC],2802 Adams Avenue,,La Grande,OR,97850,Rapid Re-Housing
"B.E.D.S. Plus Care, Inc.",9601 Ogden Ave,,LA GRANGE,IL,60525,Permanent Supportive Housing
"B.E.D.S. Plus Care, Inc.",9601 Ogden Ave,,LA GRANGE,IL,60526,Rapid Re-Housing
"B.E.D.S. Plus Care, Inc.",9601 Ogden Ave,,LA GRANGE,IL,60525,Rapid Re-Housing
"B.E.D.S. Plus Care, Inc.",9601 Ogden Ave,,LA GRANGE,IL,60525,Rapid Re-Housing
"B.E.D.S. Plus Care, Inc.",9601 Ogden Ave,,LA GRANGE,IL,60525,Transitional Housing
"B.E.D.S. Plus Care, Inc.",150 S ASHLAND AVE,,LA GRANGE,IL,60525,Emergency Shelter
La Pine Warming Shelter,16430 3RD ST,,LA PINE,OR,97739,Emergency Shelter
Lifestyles Inc.,101 CATALPA DR,,LA PLATA,MD,20646,Emergency Shelter
Lifestyles Inc.,101 CATALPA DR,,LA PLATA,MD,20646,Transitional Housing
Lifestyles Inc.,101 CATALPA DR,,LA PLATA,MD,20646,Emergency Shelter
Lifestyles Inc.,101 CATALPA DR,,LA PLATA,MD,20646,Permanent Supportive Housing
Lifestyles Inc.,101 CATALPA DR,,LA PLATA,MD,20646,Emergency Shelter
Lifestyles Inc.,101 CATALPA DR,,LA PLATA,MD,20646,Emergency Shelter
Mental Hygiene Administration,PO BOX 2150,,LA PLATA,MD,20646,Permanent Supportive Housing
Project New Hope,14558 Francisquito Ave.,NULL,La Puente,CA,91746,Permanent Supportive Housing
Volunteers of America of Los Angeles,510 Vineland Ave.,NULL,La Puente,CA,91746,Emergency Shelter
Volunteers of America of Los Angeles,510 Vineland Ave.,NULL,La Puente,CA,91746,Emergency Shelter
David and Margaret Youth and Family Services,1350 3rd St.,NULL,La Verne,CA,91750,Permanent Supportive Housing
Low Income Housing Institute (Thurston),1322 Skyridge St. SE,,Lacey,WA,98503,Permanent Supportive Housing
Community Action Council of LMT (Thurston),3020 Willamette DR NE,,Lacey,WA,98516,Rapid Re-Housing
Community Action Council of LMT (Thurston),3020 Willamette DR NE,,Lacey,WA,98516,Rapid Re-Housing
Belknap House,200 Court Street,,Laconia,NH,3246,Emergency Shelter
Lake Region Mental Health,13 SUMMER ST,,LACONIA,NH,3246,Permanent Supportive Housing
Lake Region Mental Health,24 MCGRATH ST,,LACONIA,NH,3246,Permanent Supportive Housing
Lake Region Community Developers,85 ELM ST,,LACONIA,NH,3246,Transitional Housing
The Salvation Army - Carey House,6 SPRING ST,,LACONIA,NH,3246,Emergency Shelter
Rusk County Lighthouse,311 MINER AVE E,,LADYSMITH,WI,54848,Emergency Shelter
Rusk County Lighthouse,311 MINER AVE E,,LADYSMITH,WI,54848,Emergency Shelter
Rusk County Lighthouse,311 MINER AVE E,,LADYSMITH,WI,54848,Emergency Shelter
Indianhead Community Action Agency,209 E 3RD ST S,,LADYSMITH,WI,54848,Rapid Re-Housing
"Mental Health America of Tippecanoe County, Inc.",915 COLUMBIA ST,,LAFAYETTE,IN,47901,Other Permanent Housing
Lafayette Housing Authority,,,Lafayette,IN,47904,Permanent Supportive Housing
City of Lafayette,515 COLUMBIA ST,,LAFAYETTE,IN,47901,Permanent Supportive Housing
"Lafayette Transitional Housing Center, Inc.",820 N. 13th St.,,Lafayette,IN,47904,Permanent Supportive Housing
"Lafayette Transitional Housing Center, Inc.","615 North 818th Street, Suite 102",,Lafayette,IN,47904,Rapid Re-Housing
"Lafayette Transitional Housing Center, Inc.","615 North 818th Street, Suite 102",,Lafayette,IN,47904,Rapid Re-Housing
"Lafayette Transitional Housing Center, Inc.",615 N 18TH ST STE 102,,LAFAYETTE,IN,47904,Rapid Re-Housing
"Lafayette Transitional Housing Center, Inc.",615 N 18TH ST,,LAFAYETTE,IN,47904,Permanent Supportive Housing
"Lafayette Transitional Housing Center, Inc.",615 N 18TH ST,,LAFAYETTE,IN,47904,Permanent Supportive Housing
"Lafayette Transitional Housing Center, Inc.",814 N 14TH ST,,LAFAYETTE,IN,47904,Permanent Supportive Housing
Interfaith Hospitality Network of Lafayette,2203 N 19TH ST,,LAFAYETTE,IN,47904,Emergency Shelter
Lafayette Urban Ministry,420 N 4TH ST,,LAFAYETTE,IN,47901,Emergency Shelter
Catholic Charities of Acadiana,425 St. John Street,,Lafayette,LA,70501,Short Term Housing
Catholic Charities of Acadiana,425 SAINT JOHN ST,,LAFAYETTE,LA,70501,Emergency Shelter
Family Promise,1604 W UNIVERSITY AVE,,LAFAYETTE,LA,70506,Emergency Shelter
Lafayette Housing Authority,115 Katy Drive,,Lafayette,LA,70501,Permanent Supportive Housing
Acadiana Outreach Center,625 N UNIVERSITY AVE,,LAFAYETTE,LA,70506,Rapid Re-Housing
Salvation Army,212 6TH ST,,LAFAYETTE,LA,70501,Emergency Shelter
Catholic Charities of Acadiana,425 SAINT JOHN ST,,LAFAYETTE,LA,70501,Emergency Shelter
Catholic Charities of Acadiana,1000 East Willow Street,,Lafayette,LA,70501,Emergency Shelter
Catholic Charities of Acadiana,401 SAINT JOHN ST,,LAFAYETTE,LA,70501,Permanent Supportive Housing
Catholic Charities of Acadiana,425 St. John Street,,Lafayette,LA,70501,Transitional Housing
Catholic Charities of Acadiana,401 St. John Street,,LAFAYETTE,LA,70501,Rapid Re-Housing
Acadiana Outreach Center,625 N UNIVERSITY AVE,,LAFAYETTE,LA,70506,Transitional Housing
Acadiana Outreach Center,625 N. University Avenue,,Lafayette,LA,70501,Rapid Re-Housing
Acadiana Outreach Center,625 N. University,,Lafayette,LA,70506,Rapid Re-Housing
Acadiana Cares,809 MARTIN LUTHER KING JR DR,,LAFAYETTE,LA,70501,Transitional Housing
Acadiana Cares,809 MARTIN LUTHER KING JR DR,,LAFAYETTE,LA,70501,Emergency Shelter
Acadiana Cares,809 MARTIN LUTHER KING JR DR,,LAFAYETTE,LA,70501,Permanent Supportive Housing
Acadiana Cares,"809 Martin Luther King, Jr. Drive",,Lafayette,LA,70501,Permanent Supportive Housing
Acadiana Cares,809 MARTIN LUTHER KING JR DR,,LAFAYETTE,LA,70501,Permanent Supportive Housing
Acadiana Cares,809 MARTIN LUTHER KING JR DR,,LAFAYETTE,LA,70501,Emergency Shelter
Advance Housing,10 ROUTE 94,,LAFAYETTE,NJ,7848,Permanent Supportive Housing
Advance Housing,10 Route 94 South,,Lafayette,NJ,7848,Permanent Supportive Housing
Pathways Resource Center,2977 General Carl W Stiner Hwy,,LaFollette,TN,37766,Emergency Shelter
Action Ministries N. GA Trans. Housing,,,LAGRANGE,GA,30240,Permanent Supportive Housing
Fellowship Deliverance Ministries Inc.,207 W MULBERRY ST,,LAGRANGE,GA,30240,Emergency Shelter
Ark Refuge Ministries,504 E DEPOT ST,,LAGRANGE,GA,30241,Transitional Housing
Good News Shelter Corporation,115 E Adams Street,,LaGrange,KY,40031,Rapid Re-Housing
Good News Shelter Corporation,318 N 1ST ST,,LAGRANGE,KY,40031,Transitional Housing
Friendship Shelter,1335 South Coast Highway,,Laguna Beach,CA,92651,Emergency Shelter
Friendship Shelter,,,Laguna Beach,CA,92651,Rapid Re-Housing
Friendship Shelter,1335 South Coast Highway,,Laguna Beach,CA,92651,Emergency Shelter
Friendship Shelter,20652 LAGUNA CANYON RD,,LAGUNA BEACH,CA,92651,Emergency Shelter
Mercy House,,,LAGUNA BEACH,CA,92651,Permanent Supportive Housing
Mercy House,,,LAGUNA BEACH,CA,92651,Permanent Supportive Housing
South County Outreach,28232 Sorrento,,Laguna Niguel,CA,92677,Transitional Housing
"KHAKO, INC",15 IPU AUMAKUA LN,,LAHAINA,HI,96761,Transitional Housing
"KHAKO, INC",15 IPU AUMAKUA LN,,LAHAINA,HI,96761,Emergency Shelter
Calcaseau Parish Police Jury Housing Department,2001 Moeling,,LAKE CHARLES,LA,70601,Permanent Supportive Housing
Salvation Army - Lake Charles,3020 Legion Street,,Lake Charles,LA,70615,Emergency Shelter
Volunteers of America,2119 Oak Park Boulevard,,Lake Charles,LA,70601,Transitional Housing
Education & Treatment Council,2400 MERGANSER ST,,LAKE CHARLES,LA,70615,Emergency Shelter
Education & Treatment Council,710 IRIS ST APT 304,,LAKE CHARLES,LA,70601,Transitional Housing
Volunteers of America of Florida,1079 NW MINEART LN,,LAKE CITY,FL,32055,Permanent Supportive Housing
United Way of Suwannee Valley,871 SW State Road 47,,Lake City,FL,32025,Rapid Re-Housing
CDS,1884 SW Grandview Street,,Lake City,FL,32025,Emergency Shelter
Volunteers of America of Florida,1049 NW Winborn Way,,Lake City,FL,32055,Transitional Housing
Catholic Charities,553 NW Railroad Street,,Lake City,FL,32055,Rapid Re-Housing
Volunteers of America of Florida,1049 NW Winborn Way,,Lake City,FL,32055,Permanent Supportive Housing
On Eagles' Wings,185 SE Baya Drive,,Lake City,FL,32025,Transitional Housing
Renewed Outreach Center,225 NW Real Terrace,,Lake City,FL,32055,Transitional Housing
Renewed Outreach Center,225 NW Real Terrace,,Lake City,FL,32055,Emergency Shelter
Staircase Youth Services,Main,,Lake City,MI,49651,Transitional Housing
Families Forward,,,Lake Forest,CA,92630,Transitional Housing
South County Outreach,21931 Rimhurst Dr,,Lake Forest,CA,92630,Transitional Housing
One Step Ministry,21956 LAKELAND,,LAKE FOREST,CA,92630,Transitional Housing
Warren County Dept. of Social Services,1340 U.S. 9,,Lake George,NY,12845,Emergency Shelter
Clackamas County H3S,1115 COUNTRY CLUB RD,,LAKE OSWEGO,OR,97034,Emergency Shelter
The Lord's Place Inc.,711 S J ST,,LAKE WORTH,FL,33460,Transitional Housing
Gulfstream Goodwill Industries Inc.,101 S J ST,,LAKE WORTH,FL,33460,Permanent Supportive Housing
Faith Hope Love Charity Inc.,4309 DAVIS RD,,LAKE WORTH,FL,33461,Emergency Shelter
Faith Hope Love Charity Inc.,4309 DAVIS RD,,LAKE WORTH,FL,33461,Transitional Housing
Adopt-A-Family of the Palm Beaches Inc.,1712 2nd Ave N,,Lake Worth,FL,33460,Rapid Re-Housing
Adopt-A-Family of the Palm Beaches Inc.,1736 2ND AVE N,,LAKE WORTH,FL,33460,Other Permanent Housing
Adopt-A-Family of the Palm Beaches Inc.,1712 2ND AVE N,,LAKE WORTH,FL,33460,Permanent Supportive Housing
Adopt-A-Family of the Palm Beaches Inc.,1712 2nd Ave N,,Lake Worth,FL,33460,Rapid Re-Housing
Adopt-A-Family of the Palm Beaches Inc.,1712 2ND AVE N,,LAKE WORTH,FL,33460,Emergency Shelter
Adopt-A-Family of the Palm Beaches Inc.,1712 2ND AVE N,,LAKE WORTH,FL,33460,Rapid Re-Housing
Florida Baptist Children's Homes,1015 Sikes Blvd,,Lakeland,FL,33815,Transitional Housing
Lighthouse Ministries,215 E MAGNOLIA ST,,LAKELAND,FL,33801,Transitional Housing
Department of Veterans Affairs,4237 S PIPKIN RD,,LAKELAND,FL,33811,Permanent Supportive Housing
Talbot House,814 N KENTUCKY AVE,,LAKELAND,FL,33801,Transitional Housing
Talbot House,814 N KENTUCKY AVE,,LAKELAND,FL,33801,Transitional Housing
Talbot House,814 N KENTUCKY AVE,,LAKELAND,FL,33801,Rapid Re-Housing
Talbot House,814 N KENTUCKY AVE,,LAKELAND,FL,33801,Rapid Re-Housing
Talbot House,814 N KENTUCKY AVE,,LAKELAND,FL,33801,Emergency Shelter
Talbot House,,,LAKELAND,FL,33801,Rapid Re-Housing
St. Vincent de Paul,1959 E Edgewood Drive,,LAKELAND,FL,33803,Rapid Re-Housing
Agency for Community Treatment,,,Lakeland,FL,33801,Permanent Supportive Housing
Agency for Community Treatment,1506 MOONLITE DR,,LAKELAND,FL,33801,Permanent Supportive Housing
Tri-County Human Services Inc,1815 Crystal Lake Drive,,Lakeland,FL,33801,Permanent Supportive Housing
Tri-County Human Services Inc,1815 Crystal Lake Drive,,Lakeland,FL,33801,Permanent Supportive Housing
Wilson House,2412 HAYWOOD ST,,LAKELAND,FL,33801,Permanent Supportive Housing
Talbot House,814 N KENTUCKY AVE,,LAKELAND,FL,33801,Transitional Housing
Talbot House,814 N KENTUCKY AVE,,LAKELAND,FL,33801,Permanent Supportive Housing
St. Vincent de Paul,1959 E EDGEWOOD DR,,LAKELAND,FL,33803,Rapid Re-Housing
St. Vincent de Paul,1959 E EDGEWOOD DR,,LAKELAND,FL,33803,Rapid Re-Housing
Wilson House,510 WILDLIFE TRL,,LAKELAND,FL,33809,Transitional Housing
Lighthouse Ministries,117 E MAGNOLIA ST,,LAKELAND,FL,33801,Transitional Housing
Talbot House,814 N KENTUCKY AVE,,LAKELAND,FL,33801,Transitional Housing
Talbot House,814 N KENTUCKY AVE,,LAKELAND,FL,33801,Rapid Re-Housing
Talbot House,814 N KENTUCKY AVE,,LAKELAND,FL,33801,Rapid Re-Housing
Salvation Army,2455 JIM GALLOWAY RD,,LAKELAND,FL,33810,Transitional Housing
Gospel Inc.,914 N KENTUCKY AVE,,LAKELAND,FL,33801,Transitional Housing
Lighthouse Ministries,117 E MAGNOLIA ST,,LAKELAND,FL,33801,Emergency Shelter
Salvation Army,2455 JIM GALLOWAY RD,,LAKELAND,FL,33810,Emergency Shelter
Hope Harbor Warming Center,3500 HILL RD E,,LAKEPORT,CA,95453,Emergency Shelter
North Coast Opportunities,850 Lakeport Boulevard,,Lakeport,CA,95453,Rapid Re-Housing
North Coast Opportunities,850 Lakeport Blvd,,Lakeport,CA,95453,Rapid Re-Housing
North Coast Opportunities,850 Lakeport Boulevard,,Lakeport,CA,95453,Rapid Re-Housing
Redwood Community Services,2333 DIANE WAY,,LAKEPORT,CA,95453,Transitional Housing
White Mountain Salvation Army,"5658 AZ-260, Lakeside, AZ 85929",,Lakeside,AZ,85929,Emergency Shelter
Scott Carver Dakota CAP Agency Inc.,20345 IBERIA AVE,,LAKEVILLE,MN,55044,Transitional Housing
EHG,20 4th street,,Lakewood,NJ,8701,Emergency Shelter
Samaritan House,213 MADISON AVE,,LAKEWOOD,NJ,8701,Transitional Housing
The Metanoia Project,P.O.Box 770792,,Lakewood,OH,44107,Emergency Shelter
Share and Care House,9330 59TH AVE SW,,Lakewood,WA,98499,Permanent Supportive Housing
LASA,8956 GRAVELLY LAKE DR SW,,Lakewood,WA,98499,Other Permanent Housing
LASA,8956 GRAVELLY LAKE DR SW,,Lakewood,WA,98499,Other Permanent Housing
LASA,8956 GRAVELLY LAKE DR SW,,LAKEWOOD,WA,98499,Emergency Shelter
LASA,8956 GRAVELLY LAKE DR SW,,LAKEWOOD,WA,98499,Permanent Supportive Housing
Greater Lakes Mental Healthcare,9330 59TH AVE SW,,Lakewood,WA,98499,Permanent Supportive Housing
LASA,8956 GRAVELLY LAKE DR SW,,Lakewood,WA,98499,Rapid Re-Housing
Valley Oasis,43434 E. Sahuayo St.,NULL,Lancaster,CA,93535,Rapid Re-Housing
Mental Health America,506 W. Jackman St.,NULL,Lancaster,CA,93534,Rapid Re-Housing
Valley Oasis,43434 E. Sahuayo St.,NULL,Lancaster,CA,93535,Emergency Shelter
Valley Oasis,43434 E. Sahuayo St.,NULL,Lancaster,CA,93535,Emergency Shelter
Valley Oasis,43434 E. Sahuayo St.,NULL,Lancaster,CA,93535,Emergency Shelter
Valley Oasis,43434 E. Sahuayo St.,NULL,Lancaster,CA,93535,Transitional Housing
Affordable Living for the Aging,44420 13th St.,NULL,Lancaster,CA,93534,Permanent Supportive Housing
Valley Oasis,43434 E. Sahuayo St.,NULL,Lancaster,CA,93535,Transitional Housing
Valley Oasis,43434 E. Sahuayo St.,NULL,Lancaster,CA,93535,Permanent Supportive Housing
The Salvation Army,44349 Lowtree Ave.,NULL,Lancaster,CA,93534,Transitional Housing
Volunteers of America of Los Angeles,154 E Ave I.,NULL,Lancaster,CA,93535,Transitional Housing
Mental Health America,506 W. Jackman St.,NULL,Lancaster,CA,93534,Permanent Supportive Housing
Mental Health America,506 W. Jackman St.,NULL,Lancaster,CA,93534,Permanent Supportive Housing
Los Angeles County Development Authority (LACDA),43434 E. Sahuayo St.,NULL,Lancaster,CA,93535,Rapid Re-Housing
Mental Health America,506 W. Jackman St.,NULL,Lancaster,CA,93534,Permanent Supportive Housing
Mental Health America,506 W. Jackman St.,NULL,Lancaster,CA,93534,Permanent Supportive Housing
Valley Oasis,43434 E. Sahuayo St.,NULL,Lancaster,CA,93535,Rapid Re-Housing
Penny Lane Centers,2131 Ave. J-8,NULL,Lancaster,CA,93534,Transitional Housing
Los Angeles County Department of Public Social Services (DPSS),349 B East Ave.,NULL,Lancaster,CA,93535,Emergency Shelter
Valley Oasis,43434 E. Sahuayo St.,NULL,Lancaster,CA,93535,Emergency Shelter
Volunteers of America of Los Angeles,154 E Ave I.,NULL,Lancaster,CA,93535,Emergency Shelter
Volunteers of America of Los Angeles,45150 60th St. West,NULL,Lancaster,CA,93536,Emergency Shelter
The Salvation Army,45150 60th St. West,NULL,Lancaster,CA,93536,Emergency Shelter
Tri-County CAP,56 PROSPECT ST,,LANCASTER,NH,3584,Emergency Shelter
"United Church Home Society, Inc.",5522 BROADWAY ST,,LANCASTER,NY,14086,Transitional Housing
LSS Faith Mission of Fairfield County,1681 E. Main Street,,Lancaster,OH,43130,Emergency Shelter
LSS Faith Mission of Fairfield County,1681 E. Main St,,Lancaster,OH,43130,Emergency Shelter
Community Action Program Commission of the Lancast,1743 East Main Street,P.O. Box 768,Lancaster,OH,43130,Emergency Shelter
LSS Faith Mission of Fairfield County,1681 E. Main Street,,Lancaster,OH,43130,Rapid Re-Housing
LSS Faith Mission of Fairfield County,1681 E. Main St.,,Lancaster,OH,43130,Transitional Housing
Community Action Program Commission of the Lancast,1743 East Main Street,P.O. Box 768,Lancaster,OH,43130,Permanent Supportive Housing
Community Action Program Commission of the Lancast,1743 E. Main St.,,Lancaster,OH,43130,Permanent Supportive Housing
Fairfield Metropolitan Housing Authority,1681 E. Main Street,,Lancaster,OH,43130,Permanent Supportive Housing
Community Action Program Commission of the Lancast,1743 E Main Street,,Lancaster,OH,43130,Rapid Re-Housing
LSS Faith Mission of Fairfield County,1681 E. Main Street,,Lancaster,OH,43130,Transitional Housing
LSS Faith Mission of Fairfield County,1681 E. Main Street,,Lancaster,OH,43130,Permanent Supportive Housing
LSS Faith Mission of Fairfield County,1681 E. Main Street,,Lancaster,OH,43130,Permanent Supportive Housing
Foundations Shelter,800 West 6th Ave,,Lancaster,OH,43130,Emergency Shelter
The Lighthouse,,,Lancaster,OH,43130,Emergency Shelter
Lancaster County Council of Churches,110 N LIME ST,,LANCASTER,PA,17602,Emergency Shelter
Water Street Mission,210 S PRINCE ST,,LANCASTER,PA,17603,Emergency Shelter
Lancaster General Health,555 N DUKE ST,,LANCASTER,PA,17602,Rapid Re-Housing
LancCo My Home,618 N. Duke St.,,Lancaster,PA,17604,Transitional Housing
YWCA of Lancaster,110 N LIME ST,,LANCASTER,PA,17602,Emergency Shelter
Water Street Mission,210 S Prince St.,,Lancaster,PA,17603,Emergency Shelter
Water Street Mission,210 S PRINCE ST,,LANCASTER,PA,17603,Transitional Housing
Tabor Community Services,105 E KING ST,,LANCASTER,PA,17602,Emergency Shelter
Tabor Community Services,105 E KING ST,,LANCASTER,PA,17602,Transitional Housing
Bridge of Hope,616 N LIME ST,,LANCASTER,PA,17602,Rapid Re-Housing
Community Basics/The Lodge Inc,1687 LINCOLN HWY E,,LANCASTER,PA,17602,Permanent Supportive Housing
YWCA of Lancaster,110 N LIME ST,,LANCASTER,PA,17602,Permanent Supportive Housing
Tabor Community Services,105 E KING ST,,LANCASTER,PA,17602,Permanent Supportive Housing
Tabor Community Services,308 E KING ST,,LANCASTER,PA,17602,Permanent Supportive Housing
Tabor Community Services,308 E. King St,,Lancaster,PA,17608,Permanent Supportive Housing
Lancaster County BHDS,150 N QUEEN ST,,LANCASTER,PA,17603,Permanent Supportive Housing
Lancaster County BHDS,150 N QUEEN ST,,LANCASTER,PA,17603,Permanent Supportive Housing
Lancaster County BHDS,150 N QUEEN ST,,LANCASTER,PA,17603,Permanent Supportive Housing
Community Basics/The Lodge Inc,221 Forney Rd,,LANCASTER,PA,17601,Permanent Supportive Housing
Family Promise of Grant County,333 West Cherry Street,,Lancaster,WI,53813,Emergency Shelter
Prince George's County Department of Social Services,805 BRIGHTSEAT RD,,LANDOVER,MD,20785,Transitional Housing
Prince George's County Department of Social Services,805 BRIGHTSEAT RD,,LANDOVER,MD,20785,Emergency Shelter
Prince George's County Department of Social Services,805 BRIGHTSEAT RD,,LANDOVER,MD,20785,Permanent Supportive Housing
Penndel Mental Health Center Inc.,1517 DURHAM RD,,LANGHORNE,PA,19047,Permanent Supportive Housing
Penndel Mental Health Center Inc.,1517 DURHAM RD,,LANGHORNE,PA,19047,Permanent Supportive Housing
Bucks County Housing Group,349 DURHAM RD,,LANGHORNE,PA,19047,Transitional Housing
South Whidbey Homeless Coalition,816 Camano Avenue,,Langley,WA,98260,Emergency Shelter
South Whidbey Homeless Coalition,816 Camano Avenue,,Langley,WA,98260,Emergency Shelter
South Whidbey Homeless Coalition,816 Camano Avenue,,Langley,WA,98260,Emergency Shelter
South Whidbey Homeless Coalition,816 Camano Avenue,,Langley,WA,98260,Transitional Housing
Maryland Mental Hygiene Administration,7901 Annapolis Road,,Lanham,MD,20706,Permanent Supportive Housing
Maryland Mental Hygiene Administration,7901 Annapolis Road,,Lanham,MD,20706,Permanent Supportive Housing
"VESTA, Inc.",9301 Annapolis Road,,Lanham,MD,20706,Emergency Shelter
"Trinity Lutheran Church, Lansdale",1000 W MAIN ST,,LANSDALE,PA,19446,Emergency Shelter
Advent House Ministries,743 N MARTIN LUTHER KING JR BLVD,,LANSING,MI,48915,Permanent Supportive Housing
Lansing Housing Commission,419 CHERRY ST,,LANSING,MI,48933,Permanent Supportive Housing
One Church/One Family,743 N MARTIN LUTHER KING JR BLVD,,LANSING,MI,48915,Other Permanent Housing
Holy Cross Services,430 N LARCH ST,,LANSING,MI,48912,Transitional Housing
Holy Cross Services,430 N LARCH ST,,Lansing,MI,48912,Transitional Housing
Homeless Angels,3216 W MAIN ST,,LANSING,MI,48917,Emergency Shelter
Child & Family Charities/Gateway Youth Services,4287 FIVE OAKS DR,,Lansing,MI,48911,Transitional Housing
Holy Cross Services,430 N LARCH ST,,LANSING,MI,48912,Rapid Re-Housing
Child & Family Charities/Gateway Youth Services,3240 S WAVERLY RD,,LANSING,MI,48911,Transitional Housing
City Rescue Mission of Lansing,613 E MICHIGAN AVE,,LANSING,MI,48912,Emergency Shelter
Advent House Ministries,743 N MARTIN LUTHER KING JR BLVD,,LANSING,MI,48915,Permanent Supportive Housing
Advent House Ministries,743 N MARTIN LUTHER KING JR BLVD,,LANSING,MI,48915,Rapid Re-Housing
One Church/One Family,124 W MICHIGAN AVE,4th Floor City Hall,Lansing,MI,48933,Rapid Re-Housing
Mid-Michigan Recovery Services,913 W HOLMES Rd,SUITE 200,LANSING,MI,48910,Rapid Re-Housing
Mid-Michigan Recovery Services,817 N MARTIN LUTHER KING JR BLVD,,LANSING,MI,48915,Transitional Housing
Loaves and Fishes Ministries,835 N SYCAMORE ST,,LANSING,MI,48906,Transitional Housing
Loaves and Fishes Ministries,831 N SYCAMORE ST,,LANSING,MI,48906,Emergency Shelter
Loaves and Fishes Ministries,1316 N CHESTNUT ST,,LANSING,MI,48906,Transitional Housing
